ENSEMBL ID,label
ENSG00000280161,0
ENSG00000278867,0
ENSG00000280303,0
ENSG00000279406,0
ENSG00000270964,1
ENSG00000273189,0
ENSG00000259818,0
ENSG00000251364,0
ENSG00000116883,0
ENSG00000273253,0
ENSG00000261423,0
ENSG00000280247,1
ENSG00000261008,0
ENSG00000230647,0
ENSG00000261067,0
ENSG00000177788,0
ENSG00000280106,0
ENSG00000273270,0
ENSG00000203709,0
ENSG00000261790,0
ENSG00000239335,0
ENSG00000186594,0
ENSG00000272449,1
ENSG00000230082,1
ENSG00000276791,0
ENSG00000276131,1
ENSG00000259321,0
ENSG00000226864,0
ENSG00000261770,0
ENSG00000280374,0
ENSG00000279369,0
ENSG00000261659,0
ENSG00000278202,0
ENSG00000248049,0
ENSG00000280078,0
ENSG00000228065,0
ENSG00000263244,0
ENSG00000231249,1
ENSG00000247728,0
ENSG00000249825,0
ENSG00000273007,0
ENSG00000272148,0
ENSG00000242349,0
ENSG00000212978,1
ENSG00000218510,1
ENSG00000224093,0
ENSG00000228120,0
ENSG00000272983,0
ENSG00000262370,0
ENSG00000272994,0
ENSG00000261534,0
ENSG00000235280,1
ENSG00000236078,1
ENSG00000272918,0
ENSG00000281398,0
ENSG00000236499,0
ENSG00000279821,0
ENSG00000274372,0
ENSG00000260977,0
ENSG00000237476,0
ENSG00000249592,0
ENSG00000279041,0
ENSG00000260742,0
ENSG00000273084,0
ENSG00000227953,0
ENSG00000266473,1
ENSG00000260837,0
ENSG00000270165,0
ENSG00000203499,1
ENSG00000273328,0
ENSG00000253738,1
ENSG00000231881,0
ENSG00000269439,1
ENSG00000283122,0
ENSG00000227906,1
ENSG00000243701,0
ENSG00000273148,0
ENSG00000255306,0
ENSG00000253428,0
ENSG00000223891,1
ENSG00000242539,0
ENSG00000279619,0
ENSG00000259319,1
ENSG00000228506,1
ENSG00000280623,0
ENSG00000231312,0
ENSG00000269399,0
ENSG00000204584,0
ENSG00000240889,0
ENSG00000253931,0
ENSG00000275902,0
ENSG00000258938,0
ENSG00000226332,0
ENSG00000261079,0
ENSG00000280239,0
ENSG00000277879,0
ENSG00000268266,0
ENSG00000229299,0
ENSG00000272017,0
ENSG00000269903,0
ENSG00000226416,0
ENSG00000261441,0
ENSG00000270022,0
ENSG00000228397,1
ENSG00000248103,0
ENSG00000251661,0
ENSG00000270020,0
ENSG00000125804,0
ENSG00000254363,0
ENSG00000256443,0
ENSG00000277232,1
ENSG00000225791,1
ENSG00000213904,0
ENSG00000272182,0
ENSG00000260774,0
ENSG00000236117,0
ENSG00000255650,1
ENSG00000227252,0
ENSG00000262766,0
ENSG00000204588,0
ENSG00000213963,0
ENSG00000260464,0
ENSG00000272583,0
ENSG00000272037,0
ENSG00000214188,0
ENSG00000275091,1
ENSG00000279423,1
ENSG00000259275,0
ENSG00000255647,0
ENSG00000247498,1
ENSG00000249348,1
ENSG00000253636,0
ENSG00000260563,0
ENSG00000231187,0
ENSG00000260949,0
ENSG00000272379,0
ENSG00000272356,0
ENSG00000234678,1
ENSG00000259970,0
ENSG00000215014,1
ENSG00000268129,1
ENSG00000266289,0
ENSG00000279356,0
ENSG00000234690,1
ENSG00000228084,1
ENSG00000277581,0
ENSG00000206195,0
ENSG00000249740,0
ENSG00000226849,0
ENSG00000279207,0
ENSG00000259366,0
ENSG00000280143,0
ENSG00000278987,0
ENSG00000259062,0
ENSG00000245937,1
ENSG00000273226,0
ENSG00000249395,1
ENSG00000232774,0
ENSG00000235381,0
ENSG00000278974,0
ENSG00000261135,1
ENSG00000261879,0
ENSG00000235142,1
ENSG00000226696,0
ENSG00000273759,0
ENSG00000259495,0
ENSG00000175611,1
ENSG00000237943,1
ENSG00000203865,1
ENSG00000231889,1
ENSG00000241014,0
ENSG00000276564,0
ENSG00000280173,0
ENSG00000277945,0
ENSG00000264112,0
ENSG00000260231,1
ENSG00000260278,1
ENSG00000236423,0
ENSG00000275055,1
ENSG00000270127,0
ENSG00000280087,0
ENSG00000245261,0
ENSG00000258738,1
ENSG00000228989,1
ENSG00000227681,1
ENSG00000267123,0
ENSG00000279759,0
ENSG00000272644,1
ENSG00000272156,1
ENSG00000229896,0
ENSG00000267288,0
ENSG00000223745,0
ENSG00000227627,0
ENSG00000245888,0
ENSG00000263826,0
ENSG00000255153,1
ENSG00000225611,0
ENSG00000185065,0
ENSG00000273245,0
ENSG00000232671,1
ENSG00000267549,0
ENSG00000273478,1
ENSG00000234456,0
ENSG00000261359,0
ENSG00000238005,1
ENSG00000272512,0
ENSG00000272831,1
ENSG00000260917,0
ENSG00000280157,0
ENSG00000230563,0
ENSG00000279500,0
ENSG00000226900,1
ENSG00000256628,0
ENSG00000258919,0
ENSG00000276672,0
ENSG00000273448,0
ENSG00000224459,1
ENSG00000272334,0
ENSG00000243836,1
ENSG00000272068,0
ENSG00000279488,0
ENSG00000224790,0
ENSG00000267666,0
ENSG00000267493,0
ENSG00000237950,0
ENSG00000260276,0
ENSG00000251666,0
ENSG00000229587,0
ENSG00000231760,0
ENSG00000261055,1
ENSG00000234171,1
