ENSEMBL ID,label
ENSG00000251127,0
ENSG00000272361,0
ENSG00000269176,0
ENSG00000263069,0
ENSG00000281183,0
ENSG00000222000,0
ENSG00000273335,0
ENSG00000226380,0
ENSG00000276248,0
ENSG00000231607,0
ENSG00000273192,0
ENSG00000272899,0
ENSG00000241316,1
ENSG00000272631,0
ENSG00000265282,1
ENSG00000221817,0
ENSG00000231365,0
ENSG00000260394,0
ENSG00000279522,0
ENSG00000246582,1
ENSG00000205861,0
ENSG00000214894,0
ENSG00000272267,0
ENSG00000261799,0
ENSG00000270194,1
ENSG00000258655,1
ENSG00000262155,0
ENSG00000228789,0
ENSG00000268061,1
ENSG00000204362,0
ENSG00000271857,0
ENSG00000253200,0
ENSG00000212694,0
ENSG00000232850,0
ENSG00000272072,0
ENSG00000233593,1
ENSG00000261087,0
ENSG00000260917,0
ENSG00000261173,0
ENSG00000272301,0
ENSG00000234684,0
ENSG00000224536,0
ENSG00000258057,1
ENSG00000235927,0
ENSG00000236366,0
ENSG00000230679,1
ENSG00000281831,0
ENSG00000175061,1
ENSG00000277283,0
ENSG00000273456,1
ENSG00000271020,1
ENSG00000277831,0
ENSG00000229852,0
ENSG00000226944,1
ENSG00000257918,1
ENSG00000203739,0
ENSG00000250790,1
ENSG00000236546,1
ENSG00000272476,1
ENSG00000273062,1
ENSG00000247081,1
ENSG00000266970,1
ENSG00000273287,0
ENSG00000240137,1
ENSG00000263412,0
ENSG00000278611,0
ENSG00000225511,0
ENSG00000254966,0
ENSG00000233452,0
ENSG00000214770,0
ENSG00000279117,1
ENSG00000276116,1
ENSG00000215808,1
ENSG00000265666,0
ENSG00000231690,0
ENSG00000179082,0
ENSG00000219665,1
ENSG00000250999,0
ENSG00000266904,0
ENSG00000225439,1
ENSG00000275226,0
ENSG00000277778,0
ENSG00000233230,0
ENSG00000279778,1
ENSG00000181097,0
ENSG00000250056,1
ENSG00000243155,0
ENSG00000216895,1
ENSG00000230366,0
ENSG00000270580,0
ENSG00000279519,0
ENSG00000276115,0
ENSG00000230439,1
ENSG00000237523,1
ENSG00000257588,1
ENSG00000225518,0
ENSG00000259426,0
ENSG00000271815,0
ENSG00000268673,0
ENSG00000214293,0
ENSG00000272145,0
ENSG00000230148,0
ENSG00000233208,1
ENSG00000230176,0
ENSG00000224596,0
ENSG00000233912,1
ENSG00000224950,0
ENSG00000240057,1
ENSG00000229619,1
ENSG00000276272,0
ENSG00000260136,1
ENSG00000175611,0
ENSG00000269893,1
ENSG00000229771,0
ENSG00000237943,1
ENSG00000227543,0
ENSG00000259891,0
ENSG00000261451,0
ENSG00000261167,1
ENSG00000213963,0
ENSG00000233178,1
ENSG00000269814,0
ENSG00000273249,0
ENSG00000270019,0
ENSG00000237975,0
ENSG00000246662,0
ENSG00000259362,0
ENSG00000214353,0
ENSG00000282057,0
ENSG00000233871,0
ENSG00000224358,0
ENSG00000261188,1
ENSG00000236618,1
ENSG00000267493,1
ENSG00000224046,1
ENSG00000245552,0
ENSG00000248174,0
ENSG00000244586,0
ENSG00000225213,0
ENSG00000273297,1
ENSG00000231312,1
ENSG00000185168,0
ENSG00000260093,0
ENSG00000256443,0
ENSG00000269416,1
ENSG00000255874,1
ENSG00000259943,1
ENSG00000279135,0
ENSG00000264112,0
ENSG00000267547,0
ENSG00000272701,0
ENSG00000279233,0
ENSG00000232860,0
ENSG00000257167,1
ENSG00000236098,0
ENSG00000249306,1
ENSG00000230021,0
ENSG00000237094,0
ENSG00000205664,0
ENSG00000278621,0
ENSG00000273162,0
ENSG00000204261,0
ENSG00000237512,0
ENSG00000260686,1
ENSG00000274723,0
ENSG00000273066,0
ENSG00000255176,0
ENSG00000272579,1
ENSG00000279347,0
ENSG00000260923,0
ENSG00000278769,0
ENSG00000272986,1
ENSG00000278716,0
ENSG00000272097,1
ENSG00000225791,1
ENSG00000270157,0
ENSG00000272993,0
ENSG00000229481,0
ENSG00000272755,0
ENSG00000233621,1
ENSG00000205041,0
ENSG00000250786,0
ENSG00000274598,0
ENSG00000261069,0
ENSG00000230922,0
ENSG00000274425,0
ENSG00000206337,1
ENSG00000254876,0
ENSG00000254682,1
ENSG00000235501,1
ENSG00000204934,0
ENSG00000280551,0
ENSG00000259994,0
ENSG00000276728,0
ENSG00000255559,0
ENSG00000270127,0
ENSG00000254317,0
ENSG00000272455,0
ENSG00000228265,1
ENSG00000273464,0
ENSG00000280710,0
